,disclosure_date,transaction_date,asset_description,ticker,type,amount,representative,district,cap_gains_over_200_usd
0,2022-04-20,2022-04-19,Energy Transfer LP Common Units,ET,sale_full,"$250,001 - $500,000",Hon. Mark Dr Green,TN07,False
1,2022-04-20,2022-04-18,USA Compression partners LP Common Units Representing Limited Partner Interests,USAC,sale_full,"$500,001 - $1,000,000",Hon. Mark Dr Green,TN07,False
2,2022-04-17,2022-04-15,Microsoft Corporation - 20 Shares,MSFT,purchase,"$1,001 - $15,000",Hon. Pete Sessions,TX17,False
3,2022-04-20,2022-04-14,USA Compression partners LP Common Units Representing Limited Partner Interests,USAC,sale_full,"$100,001 - $250,000",Hon. Mark Dr Green,TN07,False
4,2022-04-20,2022-04-11,Maryland St Go St Local Facs LN BDS 5% Due 03/15/2027,--,purchase,"$1,001 - $15,000",Hon. Suzan K. DelBene,WA01,False
5,2022-04-16,2022-04-07,International Flavors & Fragrances Inc,IFF,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False
6,2022-04-12,2022-04-06,International Flavors & Fragrances Inc,IFF,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False
7,2022-04-12,2022-04-06,TJX Companies Inc,TJX,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False
8,2022-04-12,2022-04-06,NVIDIA Corporation,NVDA,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False
9,2022-04-12,2022-04-06,International Flavors & Fragrances Inc,IFF,sale_partial,"$15,001 - $50,000",Hon. Alan S. Lowenthal,CA47,False
10,2022-04-13,2022-04-06,Energy Transfer LP Common Units,ET,purchase,"$250,001 - $500,000",Hon. Mark Dr Green,TN07,False
11,2022-04-13,2022-04-06,Equitrans Midstream Corporation,ETRN,sale_full,"$250,001 - $500,000",Hon. Mark Dr Green,TN07,False
12,2022-04-12,2022-04-05,Manulife Financial Corporation,MFC,sale_full,"$1,001 - $15,000",Hon. Joe Courtney,CT02,False
13,2022-04-12,2022-04-05,International Flavors & Fragrances Inc,IFF,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False
14,2022-04-14,2022-04-04,Blackrock Utility Infrastructure & Power Opportunities Trust,BLK,sale_full,"$1,001 - $15,000",Hon. Pete Sessions,TX17,False
15,2022-04-10,2022-04-04,International Flavors & Fragrances Inc,IFF,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False
16,2022-04-12,2022-03-31,Generac Holdings Inc,GNRC,purchase,"$100,001 - $250,000",Hon. James R. Langevin,RI02,False
17,2022-04-17,2022-03-31,Texas Instruments Incorporated,TXN,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
18,2022-04-12,2022-03-31,Devon Energy Corporation,DVN,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,False
19,2022-04-12,2022-03-31,Devon Energy Corporation,DVN,purchase,"$15,001 - $50,000",Hon. Kevin Hern,OK01,False
20,2022-04-12,2022-03-31,United States Treasury Notes,--,purchase,"$100,001 - $250,000",Hon. Katherine M. Clark,MA05,False
21,2022-04-07,2022-03-31,Equinix Inc,EQUIX,sale_partial,"$1,001 - $15,000",Hon. Kathy Manning,NC06,False
22,2022-04-17,2022-03-31,Unilever PLC,UL,sale_full,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
23,2022-04-25,2022-03-30,Twist Bioscience Corpration,TWST,sale_full,"$1,001 - $15,000",Hon. Dwight Evans,PA03,False
24,2022-04-25,2022-03-30,Celanese Corporation,CE,sale_full,"$1,001 - $15,000",Hon. Dwight Evans,PA03,False
25,2022-04-25,2022-03-30,General Dynamics Corporation,GD,purchase,"$1,001 - $15,000",Hon. Dwight Evans,PA03,False
26,2022-04-25,2022-03-30,Intel Corporation,INTC,purchase,"$1,001 - $15,000",Hon. Dwight Evans,PA03,False
27,2022-04-25,2022-03-30,Kinder Morgan Inc,KMI,purchase,"$1,001 - $15,000",Hon. Dwight Evans,PA03,False
28,2022-04-25,2022-03-30,NeoGenomics Inc,NEO,sale_full,"$1,001 - $15,000",Hon. Dwight Evans,PA03,False
29,2022-04-25,2022-03-30,ARK Innovation ETF,ARKK,sale_full,"$1,001 - $15,000",Hon. Dwight Evans,PA03,False
30,2022-04-17,2022-03-30,Taiwan Semiconductor Manufacturing Company Ltd,TSM,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
31,2022-04-17,2022-03-30,Unilever PLC,UL,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
32,2022-04-17,2022-03-29,Eli Lily and Company,LLY,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
33,2022-04-09,2022-03-29,Rio Tinto plc,RIO,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,False
34,2022-04-17,2022-03-29,Cognizant Technology Solutions Corporation - Class A,CTSH,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
35,2022-04-09,2022-03-29,iShares 20+ Year Treasury Bond ETF,TLT,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,False
36,2022-04-09,2022-03-29,Caterpillar Inc,CAT,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,False
37,2022-04-09,2022-03-29,General Electric Company,GE,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,False
38,2022-04-10,2022-03-29,Netflix Inc - Corporate Bond 03/01/2024 Interest 5.75%,NFLX,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False
39,2022-04-09,2022-03-29,Hartford Financial Services Group Inc,HIG,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,False
40,2022-04-12,2022-03-28,Williams Companies Inc,WMB,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,False
41,2022-04-25,2022-03-25,ARK Genomic Revolution ETF,ARKG,sale_full,"$1,001 - $15,000",Hon. Dwight Evans,PA03,False
42,2022-04-25,2022-03-25,ARK Genomic Revolution ETF,ARKG,sale_full,"$1,001 - $15,000",Hon. Dwight Evans,PA03,False
43,2022-04-10,2022-03-25,Janus International Group Inc,JBI,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False
44,2022-04-12,2022-03-25,Lockheed Martin Corporation,LMT,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,False
45,2022-04-12,2022-03-24,Home Depot Inc,HD,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,False
46,2022-04-12,2022-03-24,Raytheon Technologies Corporation,RTX,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,False
47,2022-04-10,2022-03-24,Janus International Group Inc,JBI,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,False
48,2022-04-12,2022-03-24,Meta Platforms Inc - Class A,FB,sale_full,"$1,001 - $15,000",Hon. James R. Langevin,RI02,False
49,2022-04-10,2022-03-24,Netflix Inc - Corporate Bond 5.75%,NFLX,purchase,"$15,001 - $50,000",Hon. Alan S. Lowenthal,CA47,False
50,2022-04-01,2022-03-24,S&P 500 Depository Receipts,SPDR,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,False
51,2022-04-08,2022-03-24,Home Depot Inc,HD,purchase,"$1,001 - $15,000",Hon. Lloyd Doggett,TX35,False
52,2022-04-12,2022-03-23,Morgan Stanley Fin LLC Ser A MTN 09/23/2025,MS,sale_full,"$250,001 - $500,000",Hon. Kevin Hern,OK01,False
53,2022-04-12,2022-03-23,United States Treasury Notes,--,purchase,"$250,001 - $500,000",Hon. Katherine M. Clark,MA05,False
54,2022-04-21,2022-03-22,Apple Inc,AAPl,sale_full,"$250,001 - $500,000",Hon. Kim Dr Schrier,WA08,False
55,2022-04-12,2022-03-22,Generac Holdings Inc,GNRC,sale_full,"$1,001 - $15,000",Hon. James R. Langevin,RI02,False
56,2022-04-21,2022-03-22,Tesla Inc,TSLA,sale_full,"$250,001 - $500,000",Hon. Kim Dr Schrier,WA08,False
57,2022-04-21,2022-03-22,Tesla Inc,TSLA,sale_full,"$250,001 - $500,000",Hon. Kim Dr Schrier,WA08,False
58,2022-04-12,2022-03-22,UnitedHealth Group Incorporated Common Stock,UNH,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,False
59,2022-04-10,2022-03-22,Flipside Crypto Inc - Sold equity back to Flipside Crpyto Inc back to company.,--,purchase,"$15,001 - $50,000",Hon. Jake Auchincloss,MA04,False
60,2022-04-21,2022-03-22,Apple Inc,AAPL,sale_full,"$500,001 - $1,000,000",Hon. Kim Dr Schrier,WA08,False
61,2022-04-14,2022-03-22,NVIDIA Corporation,NVDA,purchase,"$1,001 - $15,000",Hon. Pete Sessions,TX17,False
62,2022-04-13,2022-03-22,Toyota Motor Credit 3.25%,TM,purchase,"$15,001 - $50,000",Hon. Earl Blumenauer,OR03,False
63,2022-04-08,2022-03-21,Microsoft Corp,MSFT,purchase,"$100,001 - $250,000",Hon. Scott Franklin,FL15,False
64,2022-04-08,2022-03-21,Comcast Corp,CMCSA,purchase,"$100,001 - $250,000",Hon. Scott Franklin,FL15,False
65,2022-04-08,2022-03-21,Invesco QQQ Trust Unit,QQQ,purchase,"$100,001 - $250,000",Hon. Scott Franklin,FL15,False
66,2022-04-08,2022-03-21,Cisco Systems Inc,CSCO,purchase,"$100,001 - $250,000",Hon. Scott Franklin,FL15,False
67,2022-04-08,2022-03-21,JP Morgan Chase & Co,JPM,purchase,"$100,001 - $250,000",Hon. Scott Franklin,FL15,False
68,2022-04-08,2022-03-21,Alphabet Inc,GOOGL,purchase,"$15,001 - $50,000",Hon. Scott Franklin,FL15,False
69,2022-04-08,2022-03-21,Apple Inc,AAPL,purchase,"$15,001 - $50,000",Hon. Scott Franklin,FL15,False
70,2022-04-08,2022-03-21,Starbucks Corp,SBUX,purchase,"$50,001 - $100,000",Hon. Scott Franklin,FL15,False
71,2022-04-08,2022-03-21,Verizon Communications,VZ,purchase,"$15,001 - $50,000",Hon. Scott Franklin,FL15,False
72,2022-04-08,2022-03-21,Berkshire Hathaway Inc,BRK.B,purchase,"$100,001 - $250,000",Hon. Scott Franklin,FL15,False
73,2022-04-15,2022-03-21,Stryker Corporation,SYK,sale_partial,"$1,001 - $15,000",Hon. Michael C. Burgess,TX26,False
74,2022-04-12,2022-03-18,Citigroup Global Markets Holdings MTN 03/23/2027,C,purchase,"$250,001 - $500,000",Hon. Kevin Hern,OK01,False
75,2022-03-21,2022-03-18,Duke Energy Corp Fxd to 09/2024 thraftr 4.875%,DUKE,purchase,"$1,001 - $15,000",Hon. Mo Brooks,AL05,False
76,2022-04-15,2022-03-18,Berkshire Hathaway Inc New,BRK.B,sale_partial,"$15,001 - $50,000",Hon. Michael C. Burgess,TX26,False
77,2022-04-12,2022-03-18,Block Inc - Class A Common Stock,SQ,sale_full,"$50,001 - $100,000",Hon. James R. Langevin,RI02,False
78,2022-04-05,2022-03-17,Yum China Holdings Inc,YUMC,sale_full,"$1,001 - $15,000",Hon. David E. Price,NC04,True
79,2022-04-12,2022-03-17,Netflix Inc,NFLX,sale_full,"$1,001 - $15,000",Hon. James R. Langevin,RI02,False
80,2022-04-01,2022-03-17,Nutrien LTD,NTR,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,False
81,2022-04-17,2022-03-17,Biogen Inc,BIIB,sale_full,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
82,2022-04-17,2022-03-17,AbbVie Inc,ABBV,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
83,2022-04-17,2022-03-17,Netflix Inc,NFLX,sale_full,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
84,2022-04-01,2022-03-17,American Express,AXP,purchase,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,False
85,2022-03-21,2022-03-17,Tesla Inc - Exercised 25 Call options 2.5K shares expiring 3/18/22 @ $500,TSLA,purchase,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,False
86,2022-04-01,2022-03-17,EXXON Mobile Corp,XOM,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,False
87,2022-03-30,2022-03-16,West American Bank Stock,WABC,sale_full,"$15,001 - $50,000",Hon. James M. Costa,CA16,False
88,2022-04-17,2022-03-16,Sherwin-Willams Company,SHW,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
89,2022-04-17,2022-03-16,Eli Lily and Company,LLY,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
90,2022-04-17,2022-03-16,Moderna Inc,MRNA,sale_full,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
91,2022-04-12,2022-03-16,Block Inc - Class A Common Stock,SQ,sale_full,"$1,001 - $15,000",Hon. James R. Langevin,RI02,False
